"","date","datatype","station","value","fl_m","fl_q","fl_so","fl_t"
"200","2016-02-24T00:00:00","TAVG","GHCND:USW00014836",-4,"H","","S",""
"201","2016-02-24T00:00:00","TMAX","GHCND:USW00014836",0,"","","W","2400"
"202","2016-02-24T00:00:00","TMIN","GHCND:USW00014836",-21,"","","W","2400"
"203","2016-02-24T00:00:00","WDF2","GHCND:USW00014836",10,"","","W",""
"204","2016-02-24T00:00:00","WSF2","GHCND:USW00014836",130,"","","W",""
"205","2016-02-24T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"206","2016-02-25T00:00:00","AWND","GHCND:USW00014836",74,"","","W",""
"207","2016-02-25T00:00:00","PRCP","GHCND:USW00014836",30,"","","W","2400"
"208","2016-02-25T00:00:00","SNOW","GHCND:USW00014836",86,"","","W",""
"209","2016-02-25T00:00:00","TAVG","GHCND:USW00014836",-11,"H","","S",""
"210","2016-02-25T00:00:00","TMAX","GHCND:USW00014836",11,"","","W","2400"
"211","2016-02-25T00:00:00","TMIN","GHCND:USW00014836",-43,"","","W","2400"
"212","2016-02-25T00:00:00","WDF2","GHCND:USW00014836",310,"","","W",""
"213","2016-02-25T00:00:00","WSF2","GHCND:USW00014836",112,"","","W",""
"214","2016-02-26T00:00:00","AWND","GHCND:USW00014836",39,"","","W",""
"215","2016-02-26T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"216","2016-02-26T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"217","2016-02-26T00:00:00","TAVG","GHCND:USW00014836",-35,"H","","S",""
"218","2016-02-26T00:00:00","TMAX","GHCND:USW00014836",0,"","","W","2400"
"219","2016-02-26T00:00:00","TMIN","GHCND:USW00014836",-77,"","","W","2400"
"220","2016-02-26T00:00:00","WDF2","GHCND:USW00014836",270,"","","W",""
"221","2016-02-26T00:00:00","WSF2","GHCND:USW00014836",76,"","","W",""
"222","2016-02-27T00:00:00","AWND","GHCND:USW00014836",69,"","","W",""
"223","2016-02-27T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"224","2016-02-27T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"225","2016-02-27T00:00:00","TAVG","GHCND:USW00014836",-1,"H","","S",""
"226","2016-02-27T00:00:00","TMAX","GHCND:USW00014836",67,"","","W","2400"
"227","2016-02-27T00:00:00","TMIN","GHCND:USW00014836",-38,"","","W","2400"
"228","2016-02-27T00:00:00","WDF2","GHCND:USW00014836",230,"","","W",""
"229","2016-02-27T00:00:00","WSF2","GHCND:USW00014836",116,"","","W",""
"230","2016-02-28T00:00:00","AWND","GHCND:USW00014836",75,"","","W",""
"231","2016-02-28T00:00:00","PRCP","GHCND:USW00014836",33,"","","W","2400"
"232","2016-02-28T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"233","2016-02-28T00:00:00","TAVG","GHCND:USW00014836",75,"H","","S",""
"234","2016-02-28T00:00:00","TMAX","GHCND:USW00014836",133,"","","W","2400"
